mun_mic_mes,Municipio_ID
"Monte Santo do TocantinsMiracema do TocantinsOcidental do Tocantins",389
"MuricilândiaAraguaínaOcidental do Tocantins",390
"NatividadeDianópolisOriental do Tocantins",391
"NazaréBico do PapagaioOcidental do Tocantins",392
"Nova OlindaAraguaínaOcidental do Tocantins",393
"Nova RosalândiaRio FormosoOcidental do Tocantins",394
"Novo AcordoJalapãoOriental do Tocantins",395
"Novo AlegreDianópolisOriental do Tocantins",396
"Novo JardimDianópolisOriental do Tocantins",397
"Oliveira de FátimaRio FormosoOcidental do Tocantins",398
"PalmasPorto NacionalOriental do Tocantins",399
"PalmeiranteAraguaínaOcidental do Tocantins",400
"Palmeiras do TocantinsBico do PapagaioOcidental do Tocantins",401
"PalmeirópolisGurupiOcidental do Tocantins",402
"Paraíso do TocantinsRio FormosoOcidental do Tocantins",403
"ParanãDianópolisOriental do Tocantins",404
"Pau D'ArcoAraguaínaOcidental do Tocantins",405
"Pedro AfonsoPorto NacionalOriental do Tocantins",406
"PeixeGurupiOcidental do Tocantins",407
"PequizeiroMiracema do TocantinsOcidental do Tocantins",408
"Pindorama do TocantinsDianópolisOriental do Tocantins",409
"PiraquêAraguaínaOcidental do Tocantins",410
"PiumRio FormosoOcidental do Tocantins",411
"Ponte Alta do Bom JesusDianópolisOriental do Tocantins",412
"Ponte Alta do TocantinsJalapãoOriental do Tocantins",413
"Porto Alegre do TocantinsDianópolisOriental do Tocantins",414
"Porto NacionalPorto NacionalOriental do Tocantins",415
"Praia NorteBico do PapagaioOcidental do Tocantins",416
"Presidente KennedyMiracema do TocantinsOcidental do Tocantins",417
"PugmilRio FormosoOcidental do Tocantins",418
"RecursolândiaJalapãoOriental do Tocantins",419
"RiachinhoBico do PapagaioOcidental do Tocantins",420
"Rio da ConceiçãoDianópolisOriental do Tocantins",421
"Rio dos BoisMiracema do TocantinsOcidental do Tocantins",422
"Rio SonoJalapãoOriental do Tocantins",423
"SampaioBico do PapagaioOcidental do Tocantins",424
"SandolândiaRio FormosoOcidental do Tocantins",425
"Santa Fé do AraguaiaAraguaínaOcidental do Tocantins",426
"Santa Maria do TocantinsPorto NacionalOriental do Tocantins",427
"Santa Rita do TocantinsGurupiOcidental do Tocantins",428
"Santa Rosa do TocantinsDianópolisOriental do Tocantins",429
"Santa Tereza do TocantinsJalapãoOriental do Tocantins",430
"Santa Terezinha do TocantinsBico do PapagaioOcidental do Tocantins",431
"São Bento do TocantinsBico do PapagaioOcidental do Tocantins",432
"São Félix do TocantinsJalapãoOriental do Tocantins",433
"São Miguel do TocantinsBico do PapagaioOcidental do Tocantins",434
"São Salvador do TocantinsGurupiOcidental do Tocantins",435
"São Sebastião do TocantinsBico do PapagaioOcidental do Tocantins",436
"São ValérioDianópolisOriental do Tocantins",437
"SilvanópolisPorto NacionalOriental do Tocantins",438
"Sítio Novo do TocantinsBico do PapagaioOcidental do Tocantins",439
"SucupiraGurupiOcidental do Tocantins",440
"TabocãoMiracema do TocantinsOcidental do Tocantins",441
"TaguatingaDianópolisOriental do Tocantins",442
"Taipas do TocantinsDianópolisOriental do Tocantins",443
"TalismãGurupiOcidental do Tocantins",444
"TocantíniaPorto NacionalOriental do Tocantins",445
"TocantinópolisBico do PapagaioOcidental do Tocantins",446
"TupiramaMiracema do TocantinsOcidental do Tocantins",447
"TupiratinsMiracema do TocantinsOcidental do Tocantins",448
"WanderlândiaAraguaínaOcidental do Tocantins",449
"XambioáAraguaínaOcidental do Tocantins",450
"AçailândiaImperatrizOeste Maranhense",451
"Afonso CunhaCoelho NetoLeste Maranhense",452
"Água Doce do MaranhãoBaixo Parnaíba MaranhenseLeste Maranhense",453
"AlcântaraLitoral Ocidental MaranhenseNorte Maranhense",454
"Aldeias AltasCoelho NetoLeste Maranhense",455
"Altamira do MaranhãoPindaréOeste Maranhense",456
"Alto Alegre do MaranhãoCodóLeste Maranhense",457
"Alto Alegre do PindaréPindaréOeste Maranhense",458
"Alto ParnaíbaGerais de BalsasSul Maranhense",459
"Amapá do MaranhãoGurupiOeste Maranhense",460
"Amarante do MaranhãoImperatrizOeste Maranhense",461
"AnajatubaBaixada MaranhenseNorte Maranhense",462
"AnapurusChapadinhaLeste Maranhense",463
"Apicum-AçuLitoral Ocidental MaranhenseNorte Maranhense",464
"AraguanãPindaréOeste Maranhense",465
"AraiosesBaixo Parnaíba MaranhenseLeste Maranhense",466
"ArameAlto Mearim e GrajaúCentro Maranhense",467
"ArariBaixada MaranhenseNorte Maranhense",468
"AxixáRosárioNorte Maranhense",469
"BacabalMédio MearimCentro Maranhense",470
"BacabeiraRosárioNorte Maranhense",471
